state,length,prob_star,nfish,tot_cat,q
NY,11,.1232986301183701,54475415.05123904,1601669.8,.029401699
NY,12,.0728064179420471,59056824.84428973,945767.5,.016014533
NY,13,.0362529195845127,60716774.72420296,470931.47,.0077562002
NY,14,.0155002735555172,14618629.50333059,201351.14,.013773599
NY,15,.005854454357177,4486116.434263531,76050.336,.016952377
NY,16,.0028134682163454,471568.6978209764,36547.422,.077501796
RI,2,3.20753592575e-08,22715142.5387954,.16121416,7.0972108e-09
RI,3,.0000116338305816,14506510.54905011,58.472866,4.0308014e-06
RI,4,.0005736266612075,45703644.80377335,2883.1084,.000063082683
RI,5,.0079111438244581,51495793.86001065,39762.246,.00077214552
RI,6,.044830434024334,70512519.06622162,225322.52,.0031954965
RI,7,.1331143379211426,49100915.903074,669046.75,.013625952
RI,8,.2435587793588638,33976675.93866599,1224152.3,.036029194
RI,9,.1713442206382751,45847163.05323011,861194.19,.018784024
RI,10,.1589510142803192,25174753.22028688,798904.63,.031734359
RI,11,.115213468670845,54475415.05123904,579075.13,.010630026
RI,12,.0680322274565697,59056824.84428973,341937.19,.0057899691
RI,13,.0338756777346134,60716774.72420296,170262.75,.0028042127
RI,14,.0144838616251945,14618629.50333059,72797.422,.0049797706
RI,15,.0054705552756786,4486116.434263531,27495.59,.0061290408
RI,16,.0026289783868378,471568.6978209764,13213.524,.02802036
VA,5,.0187181401997805,51495793.86001065,3034.6411,.000058929883
VA,6,.0648441016674042,70512519.06622162,10512.721,.00014909013
VA,7,.122566781938076,49100915.903074,19870.895,.00040469499
VA,8,.1300096064805984,33976675.93866599,21077.547,.00062035338
VA,9,.1510704904794693,45847163.05323011,24492.002,.00053420977
VA,10,.1484841704368591,25174753.22028688,24072.699,.00095622381
VA,11,.1269236505031586,54475415.05123904,20577.242,.00037773448
VA,12,.098103828728199,59056824.84428973,15904.887,.00026931497
VA,13,.0682318285107613,60716774.72420296,11061.949,.00018218934
VA,14,.0444318056106567,14618629.50333059,7203.4175,.00049275602
VA,15,.026615584269166,4486116.434263531,4314.9985,.0009618561
