draw,age,year,Na
46,1,2020,42380900
46,2,2020,38852900
46,3,2020,19531500
46,4,2020,8595190
46,5,2020,4515590
46,6,2020,3535350
46,7,2020,4475670
47,0,2020,50714500
47,1,2020,30329700
47,2,2020,33039000
47,3,2020,16662600
47,4,2020,8027810
47,5,2020,4071800
47,6,2020,3120480
47,7,2020,4007230
48,0,2020,50368500
48,1,2020,33575600
48,2,2020,36327100
48,3,2020,19116700
48,4,2020,8816980
48,5,2020,3906800
48,6,2020,3522170
48,7,2020,3985020
49,0,2020,51170600
49,1,2020,41930100
49,2,2020,35230600
49,3,2020,18399400
49,4,2020,8071130
49,5,2020,4140070
49,6,2020,3442620
49,7,2020,4153080
50,0,2020,29224320
50,1,2020,40131280
50,2,2020,29715690
50,3,2020,23596190
50,4,2020,10985640
50,5,2020,5214381
50,6,2020,2392127
50,7,2020,4876080
51,0,2020,51212900
51,1,2020,42341100
51,2,2020,37393100
51,3,2020,18186000
51,4,2020,7587210
51,5,2020,3627310
51,6,2020,3345700
51,7,2020,4285230
52,0,2020,49392200
52,1,2020,34675600
52,2,2020,31254600
52,3,2020,17842600
52,4,2020,8636930
52,5,2020,4590850
52,6,2020,3710110
52,7,2020,3808540
53,0,2020,51739900
53,1,2020,40706100
53,2,2020,37593500
53,3,2020,18814700
53,4,2020,8474760
53,5,2020,4602990
53,6,2020,3774220
53,7,2020,4534260
54,0,2020,31686500
54,1,2020,39159170
54,2,2020,34982580
54,3,2020,23564720
54,4,2020,9801696
54,5,2020,3992449
54,6,2020,2002048
54,7,2020,3793197
55,0,2020,50483300
55,1,2020,31629000
55,2,2020,35589100
55,3,2020,19159400
55,4,2020,9850250
55,5,2020,4628630
55,6,2020,3855800
55,7,2020,4404160
56,0,2020,55475440
56,1,2020,39999510
56,2,2020,29408360
56,3,2020,21573590
56,4,2020,12000710
56,5,2020,4625156
56,6,2020,2416494
56,7,2020,4248010
57,0,2020,50540600
57,1,2020,37517800
57,2,2020,34036200
57,3,2020,18516400
57,4,2020,8673700
57,5,2020,4460630
57,6,2020,3465820
57,7,2020,3908370
58,0,2020,50780600
58,1,2020,39539500
58,2,2020,33979200
58,3,2020,17632600
58,4,2020,8652310
58,5,2020,4407670
58,6,2020,3599930
58,7,2020,4609980
59,0,2020,48383000
59,1,2020,32217300
59,2,2020,27455300
59,3,2020,15436200
59,4,2020,6523130
59,5,2020,2927150
59,6,2020,2671380
59,7,2020,2824080
60,0,2020,48835300
60,1,2020,35295000
60,2,2020,33549900
60,3,2020,17816000
60,4,2020,7897610
60,5,2020,4020190
60,6,2020,3464000
60,7,2020,3837650
61,0,2020,43895500
61,1,2020,38409570
61,2,2020,34017410
61,3,2020,24277900
61,4,2020,12565810
61,5,2020,5566798
61,6,2020,2601254
61,7,2020,4219507
62,0,2020,48660700
62,1,2020,37718400
62,2,2020,31048300
62,3,2020,15319600
62,4,2020,6838230
62,5,2020,3230440
62,6,2020,2746490
62,7,2020,3560120
63,0,2020,50944600
63,1,2020,39998700
63,2,2020,37198200
63,3,2020,19002200
63,4,2020,8631330
63,5,2020,4431620
63,6,2020,3701730
63,7,2020,4287700
64,0,2020,38207200
64,1,2020,39581280
64,2,2020,28006610
64,3,2020,21339770
64,4,2020,8667682
64,5,2020,3988887
64,6,2020,1703652
64,7,2020,3693796
65,0,2020,40391430
65,1,2020,37742860
65,2,2020,30557560
65,3,2020,25307700
65,4,2020,8922861
65,5,2020,4194899
65,6,2020,2241961
65,7,2020,4084097
66,0,2020,33816050
66,1,2020,39158430
66,2,2020,23768850
66,3,2020,22694370
66,4,2020,10462370
66,5,2020,5272740
66,6,2020,2266065
66,7,2020,4179615
67,0,2020,34397120
67,1,2020,39121400
67,2,2020,31196010
67,3,2020,23709190
67,4,2020,12946980
67,5,2020,5095061
67,6,2020,2735523
67,7,2020,4481910
68,0,2020,51039900
68,1,2020,40036200
68,2,2020,34626000
68,3,2020,18216700
68,4,2020,8646460
68,5,2020,4183660
68,6,2020,3625950
68,7,2020,4107520
69,0,2020,49613900
69,1,2020,36249600
69,2,2020,29355100
69,3,2020,16372200
69,4,2020,7943720
69,5,2020,3574790
69,6,2020,3013860
69,7,2020,3254900
70,0,2020,50828300
70,1,2020,36282200
70,2,2020,37494300
70,3,2020,17776700
70,4,2020,8162400
70,5,2020,3949420
70,6,2020,3431370
70,7,2020,4088870
71,0,2020,49378000
71,1,2020,28899900
71,2,2020,33332700
71,3,2020,16566900
71,4,2020,7665760
71,5,2020,3432940
71,6,2020,2901530
71,7,2020,3323460
72,0,2020,51291400
72,1,2020,38001000
72,2,2020,32803700
72,3,2020,17036700
72,4,2020,7992620
72,5,2020,4281160
72,6,2020,3782540
72,7,2020,4052790
73,0,2020,53647910
73,1,2020,37243350
73,2,2020,21698870
73,3,2020,20602370
73,4,2020,11168410
73,5,2020,4221841
73,6,2020,2136371
73,7,2020,4462291
74,0,2020,49751200
74,1,2020,36727200
74,2,2020,35449300
74,3,2020,16897000
74,4,2020,8844730
74,5,2020,4059740
74,6,2020,3269320
74,7,2020,3914580
75,0,2020,50447500
75,1,2020,40068700
75,2,2020,35279000
75,3,2020,17793100
75,4,2020,8833000
75,5,2020,4295430
75,6,2020,3733770
75,7,2020,4396520
76,0,2020,32773660
76,1,2020,39652670
