state,length,fitted_prob,observed_prob,prob_star
NC,4,.0135374525561929,.0121547942981124,.0153969060629606
NC,5,.0395411215722561,.0645890533924103,.0449723415076733
NC,6,.0775782838463783,.0921251550316811,.0882341489195824
NC,7,.1154058575630188,.0820204764604568,.131257563829422
NC,8,.1393687129020691,.0818658769130707,.1585118770599365
NC,9,.143573209643364,.1244094148278236,.1632938832044601
NC,10,.1307995319366455,.1680210828781128,.1487656682729721
NC,11,.10727658867836,.1809719204902649,.122011698782444
NC,12,.0808653607964516,.0906274765729904,.0919727236032486
NC,13,.0568504445254803,.0327986478805542,.0125547535717487
NC,14,.0375637076795101,.0235804785043001,.0082955043762922
NC,15,.0234937220811844,.0232532862573862,.0051883128471673
NC,16,.014013672247529,.0059760548174381,.0030947551131248
NC,17,.0081379376351833,.0073968288488686,.0017971680499613
