state,length,prob_star,nfish,tot_cat,q
DE,16,.0531343668699265,10726731.03776815,28316.42,.0026397996
DE,17,.0711905136704445,10062679.26104955,37938.918,.0037702601
DE,18,.048724178224802,6038878.782835165,25966.139,.0042998279
DE,19,.0318084470927715,5666636.764179095,16951.389,.0029914372
DE,20,.0200007241219282,4624082.552009279,10658.806,.0023050639
DE,21,.0122358985245228,2222816.851014554,6520.7671,.0029335602
DE,22,.0071423095650971,2827079.242928998,3806.2869,.0013463672
DE,23,.0041030822321773,1938577.603260271,2186.6187,.00112795
DE,24,.0022280144039541,1946071.29072395,1187.3557,.00061012962
DE,25,.0012199538759887,898671.8199496812,650.13904,.00072344433
DE,26,.0006695327465422,935305.1976304419,356.80807,.00038148838
DE,27,.0003454237012193,452822.1843937254,184.08354,.00040652501
DE,28,.0001717715058476,459087.6791513084,91.540642,.00019939686
DE,29,.0000984238213277,152524.5591830956,52.452122,.00034389296
DE,30,.0000507791664859,62844.20945271384,27.061285,.00043060904
MA,6,.0000150387468238,1220918.52761507,3.4405494,2.8180009e-06
MA,7,.0002007011789829,14648127.62233973,45.916214,3.1346133e-06
MA,8,.0013129556318745,17700423.2045567,300.37668,.000016970029
MA,9,.0055553345009685,19526977.21773148,1270.9438,.000065086562
MA,10,.0170300807803869,7319721.747608185,3896.1248,.00053227769
MA,11,.0397037155926228,6807616.697880607,9083.376,.0013342961
MA,12,.0730275735259056,5129077.179595958,16707.176,.0032573454
MA,13,.1106070429086685,7811528.498543594,25304.568,.0032393876
MA,14,.1417917460203171,10622623.2087824,32438.975,.0030537632
MA,15,.1572226583957672,19989510.44334469,35969.242,.0017994059
MA,16,.1535325050354004,10726731.03776815,35125.012,.0032745309
MA,17,.0917205587029457,10062679.26104955,20983.738,.0020853032
MA,18,.0722663998603821,6038878.782835165,16533.035,.0027377657
MA,19,.0525881089270115,5666636.764179095,12031.055,.0021231384
MA,20,.0349527560174465,4624082.552009279,7996.4565,.0017293066
MA,21,.0218280218541622,2222816.851014554,4993.793,.0022466057
MA,22,.0127337956801057,2827079.242928998,2913.2251,.0010304716
MA,23,.0069930288009346,1938577.603260271,1599.8582,.00082527421
MA,24,.003593118628487,1946071.29072395,822.03009,.00042240493
MA,25,.0018132393015549,898671.8199496812,414.83109,.00046160465
