draw,age,Year,Na
44,5,2021,4114285
44,6,2021,2171994
44,7,2021,3201487
45,0,2021,43499420
45,1,2021,39360280
45,2,2021,28011650
45,3,2021,25947160
45,4,2021,9989742
45,5,2021,4960257
45,6,2021,2297101
45,7,2021,4581967
46,0,2021,29820690
46,1,2021,38665500
46,2,2021,28871430
46,3,2021,24318630
46,4,2021,12735040
46,5,2021,5173907
46,6,2021,2837193
46,7,2021,5230806
47,0,2021,37870800
47,1,2021,37625950
47,2,2021,32550470
47,3,2021,24098730
47,4,2021,11191560
47,5,2021,5619805
47,6,2021,2550236
47,7,2021,5233020
48,0,2021,50501800
48,1,2021,41852900
48,2,2021,34930300
48,3,2021,18086900
48,4,2021,8946190
48,5,2021,4102820
48,6,2021,3765770
48,7,2021,4937270
49,0,2021,36377410
49,1,2021,37965180
49,2,2021,27814250
49,3,2021,21641680
49,4,2021,11175110
49,5,2021,5145567
49,6,2021,2462729
49,7,2021,4942263
50,0,2021,49909400
50,1,2021,33067200
50,2,2021,33359500
50,3,2021,16767900
50,4,2021,7882720
50,5,2021,3926950
50,6,2021,3368970
50,7,2021,3824530
51,0,2021,34376740
51,1,2021,37825900
51,2,2021,30411940
51,3,2021,20406500
51,4,2021,9643802
51,5,2021,4040540
51,6,2021,2234581
51,7,2021,3504568
52,0,2021,49531700
52,1,2021,27640900
52,2,2021,31130400
52,3,2021,17139800
52,4,2021,7778770
52,5,2021,3750200
52,6,2021,3266340
52,7,2021,3763260
53,0,2021,49785300
53,1,2021,31407700
53,2,2021,30496300
53,3,2021,15964800
53,4,2021,7129580
53,5,2021,3662970
53,6,2021,3153940
53,7,2021,3684390
54,0,2021,50320800
54,1,2021,37232000
54,2,2021,37458700
54,3,2021,18122900
54,4,2021,8410520
54,5,2021,4126790
54,6,2021,3461020
54,7,2021,3969360
55,0,2021,45604030
55,1,2021,38504840
55,2,2021,23137450
55,3,2021,24502330
55,4,2021,11665620
55,5,2021,4769995
55,6,2021,2407935
55,7,2021,4492276
56,0,2021,44952310
56,1,2021,39453250
56,2,2021,27189840
56,3,2021,25226890
56,4,2021,10749750
56,5,2021,4424693
56,6,2021,2030971
56,7,2021,4130693
57,0,2021,49783300
57,1,2021,36079200
57,2,2021,32847900
57,3,2021,15593300
57,4,2021,7788230
57,5,2021,3742190
57,6,2021,2936490
57,7,2021,3527860
58,0,2021,50971900
58,1,2021,39003000
58,2,2021,34910600
58,3,2021,16817100
58,4,2021,7686130
58,5,2021,4045800
58,6,2021,3615180
58,7,2021,4438470
59,0,2021,31633410
59,1,2021,39169830
59,2,2021,27264700
59,3,2021,24128470
59,4,2021,10691440
59,5,2021,4395134
59,6,2021,2031548
59,7,2021,3870289
60,0,2021,50584600
60,1,2021,35415600
60,2,2021,35632000
60,3,2021,18841200
60,4,2021,9530690
60,5,2021,4237650
60,6,2021,3793700
60,7,2021,4211550
61,0,2021,50349900
61,1,2021,39926700
61,2,2021,35663800
61,3,2021,17843800
61,4,2021,7962960
61,5,2021,4072680
