draw,age,year,Na
66,6,2021,10824970
66,7,2021,108412500
67,0,2021,91727580
67,1,2021,106726100
67,2,2021,72802950
67,3,2021,12442240
67,4,2021,30762450
67,5,2021,16176600
67,6,2021,23191380
67,7,2021,156145700
68,0,2021,227467200
68,1,2021,87631650
68,2,2021,17819790
68,3,2021,30942060
68,4,2021,22840050
68,5,2021,27743570
68,6,2021,61988750
68,7,2021,107833500
69,0,2021,113867000
69,1,2021,29798900
69,2,2021,72083100
69,3,2021,34417600
69,4,2021,49014700
69,5,2021,94995900
69,6,2021,43404900
69,7,2021,106131000
70,0,2021,39674850
70,1,2021,91734680
70,2,2021,22502820
70,3,2021,46045290
70,4,2021,31028330
70,5,2021,33682730
70,6,2021,72633140
70,7,2021,132776700
71,0,2021,113006000
71,1,2021,17347600
71,2,2021,45966000
71,3,2021,30353500
71,4,2021,38440000
71,5,2021,77235500
71,6,2021,48000500
71,7,2021,115745000
72,0,2021,92316650
72,1,2021,56697930
72,2,2021,70262680
72,3,2021,15715340
72,4,2021,32595710
72,5,2021,18226960
72,6,2021,27730470
72,7,2021,162951600
73,0,2021,93174140
73,1,2021,113330800
73,2,2021,61110280
73,3,2021,50466610
73,4,2021,10256190
73,5,2021,25522170
73,6,2021,11529570
73,7,2021,151794000
74,0,2021,115783000
74,1,2021,25287200
74,2,2021,65534800
74,3,2021,35708500
74,4,2021,50348600
74,5,2021,126268000
74,6,2021,63632800
74,7,2021,121941000
75,0,2021,116875000
75,1,2021,25155000
75,2,2021,62734100
75,3,2021,38072200
75,4,2021,48485900
75,5,2021,105251000
75,6,2021,58646100
75,7,2021,119046000
76,0,2021,129672000
76,1,2021,73635250
76,2,2021,69265950
76,3,2021,16190800
76,4,2021,27100320
76,5,2021,13734880
76,6,2021,18851530
76,7,2021,139761000
77,0,2021,93283950
77,1,2021,91624330
77,2,2021,24043500
77,3,2021,42434900
77,4,2021,20409450
77,5,2021,26856880
77,6,2021,67725070
77,7,2021,122866200
78,0,2021,36629770
78,1,2021,181480600
78,2,2021,66215750
78,3,2021,9434279
78,4,2021,19500260
78,5,2021,10613560
78,6,2021,16844250
78,7,2021,126242400
79,0,2021,60456550
79,1,2021,107780000
79,2,2021,25536300
79,3,2021,53916360
79,4,2021,11382990
79,5,2021,22647060
79,6,2021,15828410
79,7,2021,163829400
80,0,2021,115863000
80,1,2021,30273100
80,2,2021,65993000
80,3,2021,48278200
80,4,2021,47331200
80,5,2021,108245000
80,6,2021,52605900
80,7,2021,108950000
81,0,2021,125832000
81,1,2021,29475100
81,2,2021,61727200
81,3,2021,43776800
81,4,2021,53936900
81,5,2021,107491000
81,6,2021,64717100
81,7,2021,136514000
82,0,2021,255314400
82,1,2021,97402930
82,2,2021,24437670
82,3,2021,45842470
82,4,2021,24184100
82,5,2021,37277300
82,6,2021,76424120
82,7,2021,150847100
83,0,2021,125538000
83,1,2021,30317400
83,2,2021,71020500
83,3,2021,36417000
83,4,2021,37775800
83,5,2021,107510000
83,6,2021,58892900
83,7,2021,144445000
84,0,2021,38501170
84,1,2021,182625300
84,2,2021,57685850
84,3,2021,56522120
84,4,2021,13136840
84,5,2021,29997840
84,6,2021,18194180
84,7,2021,158794800
85,0,2021,255259000
85,1,2021,113892600
85,2,2021,83630780
85,3,2021,44893950
85,4,2021,12121270
85,5,2021,24766380
85,6,2021,13348190
85,7,2021,123151000
86,0,2021,92976760
86,1,2021,90963460
86,2,2021,16850830
86,3,2021,46408810
86,4,2021,29595510
86,5,2021,35934930
86,6,2021,64923560
86,7,2021,113204200
87,0,2021,410807100
87,1,2021,61402520
87,2,2021,75335170
87,3,2021,22702240
87,4,2021,33192410
87,5,2021,19195930
87,6,2021,26123910
87,7,2021,168477700
88,0,2021,112400900
88,1,2021,104743400
88,2,2021,40654580
88,3,2021,44225320
88,4,2021,8377236
88,5,2021,24026660
88,6,2021,12066300
88,7,2021,161474200
89,0,2021,218138500
89,1,2021,106987000
89,2,2021,66181610
89,3,2021,11801720
89,4,2021,37299360
89,5,2021,20473940
89,6,2021,20733980
89,7,2021,157322000
90,0,2021,71994910
90,1,2021,106834900
90,2,2021,73015130
90,3,2021,15779920
90,4,2021,34634810
90,5,2021,20333910
90,6,2021,20786140
90,7,2021,153883500
91,0,2021,121729300
91,1,2021,76817400
91,2,2021,60073360
91,3,2021,50169990
91,4,2021,9263584
91,5,2021,19622070
91,6,2021,12023410
91,7,2021,120790200
92,0,2021,121911900
92,1,2021,113555400
92,2,2021,74314940
92,3,2021,13637710
92,4,2021,30377750
92,5,2021,14764620
92,6,2021,21710510
92,7,2021,152945600
93,0,2021,120722000
93,1,2021,24980000
93,2,2021,60265800
93,3,2021,29216600
93,4,2021,42970100
93,5,2021,92928800
93,6,2021,52243300
93,7,2021,126953000
94,0,2021,256456000
94,1,2021,81575400
94,2,2021,78777930
94,3,2021,45062240
94,4,2021,10481090
94,5,2021,17703370
94,6,2021,10472680
94,7,2021,137045900
95,0,2021,90958060
95,1,2021,86683430
95,2,2021,76157910
95,3,2021,29043820
95,4,2021,40686220
95,5,2021,25008670
95,6,2021,30821340
95,7,2021,189829300
96,0,2021,227401500
96,1,2021,91253460
96,2,2021,18348110
96,3,2021,46574770
96,4,2021,31057640
96,5,2021,30918340
96,6,2021,81913610
96,7,2021,140471900
97,0,2021,95349950
97,1,2021,90052480
97,2,2021,20770060
97,3,2021,45510220
97,4,2021,27816020
97,5,2021,35951400
97,6,2021,85931350
97,7,2021,140509200
98,0,2021,99674440
98,1,2021,104548700
98,2,2021,75436270
98,3,2021,51036990
98,4,2021,12628840
98,5,2021,25558980
98,6,2021,13753470
98,7,2021,157563600
99,0,2021,92868650
99,1,2021,97225680
99,2,2021,20714980
99,3,2021,51930150
99,4,2021,31817990
99,5,2021,34179060
99,6,2021,80427480
99,7,2021,140025900
100,0,2021,163576300
100,1,2021,85748310
100,2,2021,76961540
100,3,2021,19143000
100,4,2021,33075040
100,5,2021,19870770
100,6,2021,28583960
100,7,2021,193072200
